Дата_заявки,Планируемая_дата_отправления,Количество_контейнеров,Тип_контейнера,Локация_отправления,Локация_назначения
2006-06-14,2006-06-21,2,40,Владивосток,Москва
2006-06-14,2006-06-17,6,20,Москва,Владивосток
2006-06-14,2006-06-21,5,20,Владивосток,Москва
2006-06-14,2006-06-16,5,40,Санкт-Петербург,Владивосток
2006-06-15,2006-06-17,6,20,Москва,Владивосток
2006-06-15,2006-06-17,7,40,Владивосток,Санкт-Петербург
2006-06-15,2006-06-20,2,40,Санкт-Петербург,Владивосток
2006-06-15,2006-06-19,3,20,Владивосток,Санкт-Петербург
2006-06-15,2006-06-21,7,40,Владивосток,Санкт-Петербург
2006-06-15,2006-06-17,6,20,Санкт-Петербург,Владивосток
2006-06-16,2006-06-21,7,40,Владивосток,Санкт-Петербург
2006-06-16,2006-06-23,6,40,Санкт-Петербург,Владивосток
2006-06-17,2006-06-23,6,20,Санкт-Петербург,Москва
2006-06-18,2006-06-21,6,20,Санкт-Петербург,Москва
2006-06-18,2006-06-22,2,40,Санкт-Петербург,Владивосток
2006-06-18,2006-06-24,7,20,Владивосток,Москва
2006-06-18,2006-06-23,2,20,Санкт-Петербург,Москва
2006-06-19,2006-06-26,6,40,Владивосток,Москва
2006-06-19,2006-06-21,2,20,Владивосток,Москва
2006-06-20,2006-06-24,5,20,Владивосток,Москва
2006-06-21,2006-06-22,5,40,Санкт-Петербург,Владивосток
2006-06-21,2006-06-28,5,20,Москва,Владивосток
2006-06-21,2006-06-26,5,20,Москва,Владивосток
2006-06-21,2006-06-24,2,20,Санкт-Петербург,Владивосток
2006-06-21,2006-06-24,5,40,Санкт-Петербург,Москва
2006-06-21,2006-06-23,6,20,Санкт-Петербург,Владивосток
2006-06-21,2006-06-26,6,40,Санкт-Петербург,Москва
2006-06-22,2006-06-23,6,40,Санкт-Петербург,Москва
2006-06-23,2006-06-27,7,40,Москва,Владивосток
2006-06-23,2006-06-28,3,20,Владивосток,Москва
2006-06-23,2006-06-25,5,20,Москва,Владивосток
2006-06-24,2006-06-28,6,40,Санкт-Петербург,Москва
2006-06-24,2006-06-30,7,20,Санкт-Петербург,Москва
2006-06-24,2006-06-30,7,20,Санкт-Петербург,Москва
2006-06-25,2006-06-27,3,40,Владивосток,Москва
2006-06-26,2006-06-29,6,40,Владивосток,Москва
2006-06-27,2006-06-29,7,40,Владивосток,Москва
2006-06-28,2006-07-04,3,40,Владивосток,Санкт-Петербург
2006-06-28,2006-07-04,6,40,Владивосток,Санкт-Петербург
2006-06-28,2006-07-05,2,20,Санкт-Петербург,Владивосток
2006-06-29,2006-07-02,2,40,Москва,Владивосток
2006-06-29,2006-07-01,6,20,Санкт-Петербург,Владивосток
2006-06-29,2006-06-30,2,40,Владивосток,Санкт-Петербург
2006-06-30,2006-07-04,5,40,Владивосток,Москва
2006-06-30,2006-07-03,2,40,Москва,Владивосток
2006-06-30,2006-07-06,5,40,Москва,Владивосток
2006-07-01,2006-07-06,8,20,Владивосток,Санкт-Петербург
2006-07-01,2006-07-06,3,20,Санкт-Петербург,Владивосток
2006-07-02,2006-07-08,8,40,Москва,Владивосток
2006-07-03,2006-07-10,6,40,Москва,Санкт-Петербург
2006-07-03,2006-07-07,8,20,Владивосток,Москва
2006-07-04,2006-07-05,8,20,Москва,Владивосток
2006-07-04,2006-07-08,3,40,Владивосток,Санкт-Петербург
2006-07-04,2006-07-09,8,40,Санкт-Петербург,Москва
2006-07-04,2006-07-07,2,20,Санкт-Петербург,Москва
2006-07-05,2006-07-12,6,40,Владивосток,Санкт-Петербург
2006-07-05,2006-07-07,5,20,Владивосток,Москва
2006-07-05,2006-07-06,6,20,Санкт-Петербург,Москва
2006-07-05,2006-07-09,2,40,Владивосток,Санкт-Петербург
2006-07-06,2006-07-08,8,20,Санкт-Петербург,Владивосток
2006-07-06,2006-07-07,6,40,Москва,Санкт-Петербург
2006-07-06,2006-07-11,8,20,Москва,Владивосток
2006-07-06,2006-07-10,3,40,Москва,Владивосток
2006-07-06,2006-07-09,5,20,Москва,Владивосток
2006-07-07,2006-07-08,5,20,Санкт-Петербург,Владивосток
2006-07-07,2006-07-13,3,40,Москва,Санкт-Петербург
2006-07-08,2006-07-13,8,20,Санкт-Петербург,Владивосток
2006-07-08,2006-07-10,5,20,Владивосток,Санкт-Петербург
2006-07-08,2006-07-09,5,20,Москва,Санкт-Петербург
2006-07-09,2006-07-10,3,40,Санкт-Петербург,Москва
2006-07-10,2006-07-12,3,20,Москва,Санкт-Петербург
2006-07-10,2006-07-16,8,40,Москва,Владивосток
2006-07-11,2006-07-14,6,40,Санкт-Петербург,Владивосток
2006-07-11,2006-07-16,2,20,Москва,Владивосток
2006-07-11,2006-07-13,2,20,Санкт-Петербург,Москва
2006-07-12,2006-07-19,3,40,Владивосток,Санкт-Петербург
2006-07-12,2006-07-13,5,20,Санкт-Петербург,Владивосток
2006-07-13,2006-07-18,5,20,Москва,Санкт-Петербург
2006-07-13,2006-07-18,3,40,Владивосток,Москва
2006-07-13,2006-07-17,8,40,Санкт-Петербург,Владивосток
2006-07-13,2006-07-19,3,40,Владивосток,Санкт-Петербург
2006-07-14,2006-07-18,2,40,Санкт-Петербург,Москва
2006-07-14,2006-07-21,6,40,Владивосток,Москва
2006-07-15,2006-07-20,3,40,Санкт-Петербург,Москва
2006-07-15,2006-07-21,5,20,Москва,Санкт-Петербург
2006-07-15,2006-07-17,3,20,Москва,Владивосток
2006-07-16,2006-07-18,8,20,Санкт-Петербург,Владивосток
2006-07-17,2006-07-24,5,40,Санкт-Петербург,Владивосток
2006-07-18,2006-07-22,2,40,Москва,Владивосток
2006-07-18,2006-07-20,2,20,Санкт-Петербург,Москва
2006-07-18,2006-07-23,6,40,Санкт-Петербург,Владивосток
2006-07-19,2006-07-23,3,40,Владивосток,Санкт-Петербург
2006-07-19,2006-07-23,5,40,Санкт-Петербург,Владивосток
2006-07-19,2006-07-23,3,40,Санкт-Петербург,Москва
2006-07-19,2006-07-21,5,20,Москва,Санкт-Петербург
2006-07-20,2006-07-22,3,20,Санкт-Петербург,Москва
2006-07-20,2006-07-22,3,20,Владивосток,Москва
2006-07-20,2006-07-26,2,20,Владивосток,Санкт-Петербург
2006-07-22,2006-07-27,2,20,Санкт-Петербург,Москва
2006-07-22,2006-07-26,8,40,Москва,Владивосток
2006-07-22,2006-07-25,5,40,Владивосток,Москва
2006-07-23,2006-07-30,6,40,Санкт-Петербург,Владивосток
2006-07-24,2006-07-31,3,40,Санкт-Петербург,Москва
2006-07-24,2006-07-25,3,40,Санкт-Петербург,Владивосток
2006-07-24,2006-07-31,5,20,Владивосток,Москва
2006-07-24,2006-07-25,5,20,Владивосток,Москва
2006-07-24,2006-07-29,3,40,Москва,Санкт-Петербург
2006-07-25,2006-07-26,8,20,Владивосток,Санкт-Петербург
2006-07-25,2006-07-27,5,40,Москва,Владивосток
2006-07-25,2006-07-30,2,40,Москва,Владивосток
2006-07-25,2006-07-30,6,20,Москва,Владивосток
2006-07-25,2006-07-29,5,20,Санкт-Петербург,Москва
2006-07-26,2006-07-27,6,20,Санкт-Петербург,Москва
2006-07-26,2006-07-28,3,20,Владивосток,Москва
2006-07-26,2006-08-02,6,40,Санкт-Петербург,Москва
2006-07-26,2006-07-30,8,20,Москва,Санкт-Петербург
2006-07-27,2006-08-03,3,40,Владивосток,Санкт-Петербург
2006-07-27,2006-07-31,2,40,Москва,Владивосток
2006-07-27,2006-08-03,8,40,Москва,Владивосток
2006-07-28,2006-08-03,2,40,Владивосток,Санкт-Петербург
2006-07-28,2006-07-29,8,20,Владивосток,Санкт-Петербург
2006-07-29,2006-07-31,2,20,Москва,Владивосток
2006-07-29,2006-08-05,6,40,Санкт-Петербург,Владивосток
2006-07-29,2006-08-05,6,40,Санкт-Петербург,Москва
2006-07-30,2006-07-31,6,20,Владивосток,Москва
2006-07-30,2006-08-02,6,40,Москва,Владивосток
2006-07-31,2006-08-02,3,20,Москва,Владивосток
2006-07-31,2006-08-04,5,20,Санкт-Петербург,Москва
2006-07-31,2006-08-02,5,20,Владивосток,Москва
2006-08-01,2006-08-06,7,20,Санкт-Петербург,Владивосток
2006-08-01,2006-08-06,6,40,Санкт-Петербург,Москва
2006-08-02,2006-08-09,3,20,Владивосток,Санкт-Петербург
2006-08-03,2006-08-09,5,40,Владивосток,Санкт-Петербург
2006-08-03,2006-08-10,7,20,Владивосток,Санкт-Петербург
2006-08-03,2006-08-09,6,20,Санкт-Петербург,Москва
2006-08-03,2006-08-08,2,20,Москва,Владивосток
2006-08-03,2006-08-06,3,40,Москва,Санкт-Петербург
2006-08-03,2006-08-09,7,40,Санкт-Петербург,Владивосток
2006-08-04,2006-08-07,3,20,Санкт-Петербург,Владивосток
2006-08-04,2006-08-05,3,40,Владивосток,Москва
2006-08-05,2006-08-12,3,40,Владивосток,Санкт-Петербург
2006-08-05,2006-08-08,7,20,Владивосток,Санкт-Петербург
2006-08-05,2006-08-06,7,40,Санкт-Петербург,Москва
2006-08-05,2006-08-09,6,40,Владивосток,Москва
2006-08-05,2006-08-06,7,40,Москва,Санкт-Петербург
2006-08-05,2006-08-08,6,20,Москва,Владивосток
2006-08-05,2006-08-12,2,40,Москва,Владивосток
2006-08-06,2006-08-07,2,40,Санкт-Петербург,Владивосток
2006-08-07,2006-08-13,7,40,Москва,Владивосток
2006-08-07,2006-08-12,5,40,Владивосток,Санкт-Петербург
2006-08-07,2006-08-10,2,20,Санкт-Петербург,Владивосток
2006-08-08,2006-08-13,6,40,Санкт-Петербург,Владивосток
2006-08-08,2006-08-15,3,20,Москва,Санкт-Петербург
2006-08-08,2006-08-11,2,40,Владивосток,Санкт-Петербург
2006-08-09,2006-08-16,2,20,Москва,Владивосток
2006-08-09,2006-08-11,6,20,Владивосток,Санкт-Петербург
2006-08-09,2006-08-11,5,40,Владивосток,Санкт-Петербург
2006-08-09,2006-08-11,3,40,Санкт-Петербург,Владивосток
2006-08-10,2006-08-11,5,20,Москва,Санкт-Петербург
2006-08-11,2006-08-13,6,20,Санкт-Петербург,Владивосток
2006-08-11,2006-08-13,7,40,Санкт-Петербург,Москва
2006-08-11,2006-08-14,3,20,Санкт-Петербург,Москва
2006-08-11,2006-08-13,2,40,Москва,Санкт-Петербург
2006-08-12,2006-08-17,3,40,Владивосток,Санкт-Петербург
2006-08-12,2006-08-15,7,40,Владивосток,Санкт-Петербург
2006-08-12,2006-08-19,5,40,Москва,Владивосток
2006-08-13,2006-08-14,7,20,Москва,Санкт-Петербург
2006-08-13,2006-08-19,7,40,Москва,Санкт-Петербург
2006-08-13,2006-08-17,3,40,Санкт-Петербург,Владивосток
2006-08-14,2006-08-18,7,20,Владивосток,Москва
2006-08-14,2006-08-15,2,40,Москва,Санкт-Петербург
2006-08-14,2006-08-21,6,40,Москва,Владивосток
2006-08-15,2006-08-18,2,20,Санкт-Петербург,Владивосток
2006-08-16,2006-08-20,7,20,Москва,Владивосток
2006-08-17,2006-08-18,7,40,Москва,Санкт-Петербург
2006-08-17,2006-08-22,3,20,Москва,Санкт-Петербург
2006-08-17,2006-08-23,7,40,Владивосток,Санкт-Петербург
2006-08-17,2006-08-24,6,40,Санкт-Петербург,Владивосток
2006-08-18,2006-08-23,2,40,Москва,Санкт-Петербург
2006-08-19,2006-08-24,2,20,Владивосток,Москва
2006-08-19,2006-08-25,5,40,Санкт-Петербург,Владивосток
2006-08-19,2006-08-23,6,40,Владивосток,Санкт-Петербург
2006-08-20,2006-08-21,6,40,Владивосток,Москва
2006-08-20,2006-08-25,3,20,Санкт-Петербург,Владивосток
2006-08-20,2006-08-24,3,20,Владивосток,Санкт-Петербург
2006-08-20,2006-08-27,3,40,Владивосток,Санкт-Петербург
2006-08-20,2006-08-22,3,40,Владивосток,Москва
2006-08-21,2006-08-26,6,20,Санкт-Петербург,Москва
2006-08-22,2006-08-29,7,40,Санкт-Петербург,Москва
2006-08-22,2006-08-24,5,40,Владивосток,Москва
2006-08-22,2006-08-27,7,20,Москва,Владивосток
2006-08-23,2006-08-27,5,40,Москва,Владивосток
2006-08-23,2006-08-26,6,20,Москва,Санкт-Петербург
2006-08-23,2006-08-24,6,40,Владивосток,Москва
2006-08-24,2006-08-30,2,40,Санкт-Петербург,Москва
2006-08-24,2006-08-31,5,40,Владивосток,Санкт-Петербург
2006-08-26,2006-08-30,2,40,Санкт-Петербург,Москва
2006-08-26,2006-08-31,2,20,Владивосток,Санкт-Петербург
2006-08-26,2006-08-29,2,20,Владивосток,Москва
2006-08-26,2006-09-01,5,20,Владивосток,Санкт-Петербург
2006-08-28,2006-09-03,3,40,Москва,Санкт-Петербург
2006-08-28,2006-08-30,2,20,Владивосток,Москва
2006-08-29,2006-09-04,2,20,Санкт-Петербург,Владивосток
2006-08-30,2006-09-04,6,20,Владивосток,Москва
2006-08-30,2006-09-03,6,40,Москва,Владивосток
2006-08-30,2006-09-02,5,20,Санкт-Петербург,Москва
2006-08-31,2006-09-01,2,20,Санкт-Петербург,Владивосток
2006-08-31,2006-09-05,5,20,Москва,Владивосток
2006-08-31,2006-09-07,2,20,Москва,Владивосток
2006-08-31,2006-09-07,2,40,Санкт-Петербург,Владивосток
2006-09-01,2006-09-08,2,40,Москва,Санкт-Петербург
2006-09-01,2006-09-08,4,20,Москва,Владивосток
2006-09-01,2006-09-07,4,20,Санкт-Петербург,Москва
2006-09-01,2006-09-03,5,40,Санкт-Петербург,Владивосток
2006-09-01,2006-09-05,4,20,Санкт-Петербург,Москва
2006-09-02,2006-09-06,6,40,Санкт-Петербург,Владивосток
2006-09-02,2006-09-09,2,40,Владивосток,Москва
2006-09-02,2006-09-06,5,20,Москва,Санкт-Петербург
2006-09-03,2006-09-10,5,40,Владивосток,Санкт-Петербург
2006-09-03,2006-09-05,3,20,Владивосток,Санкт-Петербург
2006-09-03,2006-09-10,3,40,Москва,Санкт-Петербург
2006-09-03,2006-09-09,3,40,Владивосток,Санкт-Петербург
2006-09-04,2006-09-07,2,40,Владивосток,Москва
2006-09-05,2006-09-09,2,20,Москва,Санкт-Петербург
2006-09-05,2006-09-10,3,40,Санкт-Петербург,Москва
2006-09-06,2006-09-13,5,20,Санкт-Петербург,Владивосток
2006-09-06,2006-09-12,2,20,Санкт-Петербург,Владивосток
2006-09-06,2006-09-09,6,20,Санкт-Петербург,Москва
2006-09-07,2006-09-09,6,20,Москва,Санкт-Петербург
2006-09-08,2006-09-09,4,40,Владивосток,Санкт-Петербург
2006-09-09,2006-09-16,3,40,Москва,Владивосток
2006-09-10,2006-09-16,6,40,Санкт-Петербург,Владивосток
2006-09-10,2006-09-11,2,40,Санкт-Петербург,Москва
2006-09-11,2006-09-18,3,40,Москва,Владивосток
2006-09-11,2006-09-13,6,20,Владивосток,Санкт-Петербург
2006-09-11,2006-09-15,4,40,Санкт-Петербург,Владивосток
2006-09-11,2006-09-18,4,40,Москва,Санкт-Петербург
2006-09-12,2006-09-18,4,20,Владивосток,Санкт-Петербург
2006-09-12,2006-09-13,3,40,Владивосток,Москва
2006-09-12,2006-09-16,6,40,Владивосток,Санкт-Петербург
2006-09-12,2006-09-17,3,20,Владивосток,Москва
2006-09-13,2006-09-19,3,20,Санкт-Петербург,Москва
2006-09-14,2006-09-19,3,40,Санкт-Петербург,Москва
2006-09-14,2006-09-19,3,40,Владивосток,Москва
2006-09-15,2006-09-22,2,20,Москва,Санкт-Петербург
2006-09-15,2006-09-16,5,40,Санкт-Петербург,Владивосток
2006-09-16,2006-09-18,5,40,Москва,Владивосток
2006-09-17,2006-09-23,2,40,Москва,Санкт-Петербург
2006-09-17,2006-09-24,6,40,Владивосток,Санкт-Петербург
2006-09-17,2006-09-24,2,20,Москва,Санкт-Петербург
2006-09-18,2006-09-24,3,40,Санкт-Петербург,Владивосток
2006-09-18,2006-09-21,6,40,Москва,Владивосток
2006-09-19,2006-09-25,6,40,Владивосток,Москва
2006-09-19,2006-09-21,3,40,Владивосток,Москва
2006-09-20,2006-09-22,5,20,Владивосток,Москва
2006-09-21,2006-09-27,4,20,Москва,Владивосток
2006-09-21,2006-09-27,4,40,Владивосток,Москва
2006-09-22,2006-09-24,2,20,Владивосток,Москва
2006-09-22,2006-09-25,2,40,Санкт-Петербург,Москва
2006-09-22,2006-09-29,5,40,Москва,Владивосток
2006-09-22,2006-09-28,4,20,Санкт-Петербург,Владивосток
2006-09-23,2006-09-27,5,20,Владивосток,Санкт-Петербург
2006-09-24,2006-10-01,2,20,Владивосток,Москва
2006-09-24,2006-09-27,5,40,Санкт-Петербург,Владивосток
2006-09-25,2006-09-29,2,40,Санкт-Петербург,Владивосток
2006-09-26,2006-10-03,5,40,Москва,Санкт-Петербург
2006-09-27,2006-09-30,2,40,Санкт-Петербург,Владивосток
2006-09-27,2006-09-28,2,40,Владивосток,Москва
2006-09-27,2006-10-04,2,40,Москва,Владивосток
2006-09-27,2006-10-04,3,40,Санкт-Петербург,Москва
2006-09-28,2006-09-29,2,20,Владивосток,Москва
2006-09-28,2006-10-04,3,20,Владивосток,Москва
2006-09-29,2006-10-03,5,40,Санкт-Петербург,Владивосток
2006-09-30,2006-10-07,4,20,Москва,Владивосток
2006-09-30,2006-10-03,3,20,Владивосток,Москва
2006-09-30,2006-10-04,6,20,Владивосток,Санкт-Петербург
2006-09-30,2006-10-05,5,20,Владивосток,Москва
2006-09-30,2006-10-03,3,40,Владивосток,Москва
2006-09-30,2006-10-04,4,40,Санкт-Петербург,Москва
2006-10-01,2006-10-06,3,40,Москва,Владивосток
2006-10-01,2006-10-05,2,20,Москва,Владивосток
2006-10-01,2006-10-06,5,20,Санкт-Петербург,Москва
2006-10-02,2006-10-03,5,20,Санкт-Петербург,Владивосток
2006-10-02,2006-10-05,6,20,Владивосток,Москва
2006-10-02,2006-10-09,5,20,Санкт-Петербург,Владивосток
2006-10-03,2006-10-08,5,40,Москва,Санкт-Петербург
2006-10-03,2006-10-04,3,40,Санкт-Петербург,Владивосток
2006-10-03,2006-10-06,4,20,Санкт-Петербург,Владивосток
2006-10-04,2006-10-06,5,40,Москва,Владивосток
2006-10-04,2006-10-09,3,20,Москва,Владивосток
2006-10-04,2006-10-08,6,20,Москва,Санкт-Петербург
2006-10-04,2006-10-08,6,40,Москва,Санкт-Петербург
2006-10-04,2006-10-09,6,40,Москва,Владивосток
2006-10-05,2006-10-10,6,20,Владивосток,Санкт-Петербург
2006-10-05,2006-10-07,5,20,Москва,Санкт-Петербург
2006-10-06,2006-10-10,3,40,Москва,Владивосток
2006-10-06,2006-10-11,2,20,Москва,Санкт-Петербург
2006-10-07,2006-10-08,6,40,Санкт-Петербург,Москва
2006-10-07,2006-10-11,4,40,Санкт-Петербург,Москва
2006-10-07,2006-10-13,3,40,Санкт-Петербург,Владивосток
2006-10-07,2006-10-12,5,20,Москва,Владивосток
2006-10-08,2006-10-12,6,40,Владивосток,Санкт-Петербург
2006-10-10,2006-10-13,6,40,Санкт-Петербург,Владивосток
2006-10-10,2006-10-11,5,40,Владивосток,Москва
2006-10-10,2006-10-16,2,40,Владивосток,Санкт-Петербург
2006-10-11,2006-10-17,6,20,Санкт-Петербург,Владивосток
2006-10-11,2006-10-15,6,20,Москва,Владивосток
2006-10-11,2006-10-13,6,40,Санкт-Петербург,Владивосток
2006-10-12,2006-10-15,6,20,Санкт-Петербург,Владивосток
2006-10-12,2006-10-19,4,40,Санкт-Петербург,Владивосток
2006-10-12,2006-10-15,3,20,Владивосток,Санкт-Петербург
2006-10-12,2006-10-15,2,40,Санкт-Петербург,Москва
2006-10-12,2006-10-13,3,40,Владивосток,Москва
2006-10-13,2006-10-16,2,20,Москва,Санкт-Петербург
2006-10-14,2006-10-21,6,40,Владивосток,Санкт-Петербург
2006-10-14,2006-10-17,2,20,Москва,Владивосток
2006-10-14,2006-10-18,4,20,Санкт-Петербург,Владивосток
2006-10-16,2006-10-23,4,40,Москва,Санкт-Петербург
2006-10-17,2006-10-19,6,20,Санкт-Петербург,Москва
2006-10-17,2006-10-20,5,40,Владивосток,Санкт-Петербург
2006-10-17,2006-10-21,5,40,Санкт-Петербург,Москва
2006-10-17,2006-10-21,4,20,Владивосток,Москва
2006-10-17,2006-10-18,6,40,Москва,Владивосток
2006-10-18,2006-10-23,2,20,Москва,Владивосток
2006-10-18,2006-10-24,2,20,Москва,Санкт-Петербург
2006-10-18,2006-10-23,5,20,Владивосток,Москва
2006-10-19,2006-10-20,4,20,Санкт-Петербург,Владивосток
2006-10-20,2006-10-22,6,40,Москва,Санкт-Петербург
2006-10-20,2006-10-26,2,20,Владивосток,Москва
2006-10-20,2006-10-22,4,20,Москва,Владивосток
2006-10-20,2006-10-21,6,20,Владивосток,Санкт-Петербург
2006-10-20,2006-10-24,5,40,Москва,Владивосток
2006-10-20,2006-10-21,2,40,Владивосток,Москва
2006-10-20,2006-10-25,2,20,Владивосток,Санкт-Петербург
2006-10-20,2006-10-23,5,20,Владивосток,Москва
2006-10-20,2006-10-22,2,40,Санкт-Петербург,Владивосток
2006-10-21,2006-10-25,3,20,Санкт-Петербург,Владивосток
2006-10-21,2006-10-23,5,20,Москва,Владивосток
2006-10-21,2006-10-27,3,20,Санкт-Петербург,Владивосток
2006-10-21,2006-10-26,3,40,Владивосток,Санкт-Петербург
2006-10-21,2006-10-24,5,40,Владивосток,Москва
2006-10-21,2006-10-28,4,40,Владивосток,Москва
2006-10-22,2006-10-29,5,40,Москва,Владивосток
2006-10-22,2006-10-24,6,20,Санкт-Петербург,Москва
2006-10-22,2006-10-23,5,40,Санкт-Петербург,Москва
2006-10-22,2006-10-26,4,40,Санкт-Петербург,Москва
2006-10-22,2006-10-26,6,20,Санкт-Петербург,Москва
2006-10-22,2006-10-25,2,40,Москва,Санкт-Петербург
2006-10-22,2006-10-24,4,20,Санкт-Петербург,Владивосток
2006-10-23,2006-10-26,3,40,Санкт-Петербург,Владивосток
2006-10-23,2006-10-29,6,20,Санкт-Петербург,Москва
2006-10-24,2006-10-28,4,20,Владивосток,Санкт-Петербург
2006-10-24,2006-10-31,5,20,Владивосток,Санкт-Петербург
2006-10-25,2006-11-01,2,20,Санкт-Петербург,Владивосток
2006-10-25,2006-10-29,4,40,Москва,Владивосток
2006-10-26,2006-11-01,2,40,Владивосток,Москва
2006-10-27,2006-10-31,5,40,Москва,Владивосток
2006-10-27,2006-11-03,4,20,Владивосток,Санкт-Петербург
2006-10-28,2006-10-30,5,40,Москва,Санкт-Петербург
2006-10-29,2006-11-04,4,40,Санкт-Петербург,Владивосток
2006-10-29,2006-10-30,3,40,Владивосток,Москва
2006-10-31,2006-11-04,5,40,Санкт-Петербург,Москва
2006-10-31,2006-11-01,2,20,Санкт-Петербург,Москва
2006-10-31,2006-11-05,4,40,Владивосток,Москва
2006-11-02,2006-11-04,5,40,Владивосток,Москва
2006-11-02,2006-11-07,2,40,Санкт-Петербург,Владивосток
2006-11-02,2006-11-08,3,20,Санкт-Петербург,Москва
2006-11-02,2006-11-04,4,40,Владивосток,Москва
2006-11-02,2006-11-04,2,20,Владивосток,Москва
2006-11-03,2006-11-09,2,40,Санкт-Петербург,Москва
2006-11-03,2006-11-10,5,20,Санкт-Петербург,Владивосток
2006-11-03,2006-11-06,3,20,Владивосток,Москва
2006-11-03,2006-11-05,5,20,Санкт-Петербург,Москва
2006-11-03,2006-11-08,3,20,Владивосток,Москва
2006-11-03,2006-11-04,4,40,Санкт-Петербург,Москва
2006-11-04,2006-11-08,1,20,Санкт-Петербург,Москва
2006-11-04,2006-11-05,1,20,Санкт-Петербург,Владивосток
2006-11-04,2006-11-06,4,20,Санкт-Петербург,Владивосток
2006-11-04,2006-11-08,2,40,Санкт-Петербург,Москва
2006-11-05,2006-11-11,5,20,Владивосток,Москва
2006-11-05,2006-11-11,2,20,Владивосток,Санкт-Петербург
2006-11-05,2006-11-12,2,20,Москва,Санкт-Петербург
2006-11-06,2006-11-13,2,40,Санкт-Петербург,Москва
2006-11-06,2006-11-11,4,20,Москва,Санкт-Петербург
2006-11-06,2006-11-09,5,40,Москва,Санкт-Петербург
2006-11-06,2006-11-08,5,20,Москва,Владивосток
2006-11-06,2006-11-10,4,40,Москва,Владивосток
2006-11-07,2006-11-14,5,20,Владивосток,Санкт-Петербург
2006-11-07,2006-11-13,1,20,Москва,Владивосток
2006-11-07,2006-11-11,2,20,Москва,Владивосток
2006-11-08,2006-11-11,2,20,Санкт-Петербург,Владивосток
2006-11-08,2006-11-09,2,20,Москва,Владивосток
2006-11-08,2006-11-14,2,40,Санкт-Петербург,Владивосток
2006-11-08,2006-11-10,4,40,Владивосток,Москва
2006-11-08,2006-11-14,5,20,Санкт-Петербург,Владивосток
2006-11-09,2006-11-16,2,40,Владивосток,Москва
2006-11-09,2006-11-15,1,20,Москва,Санкт-Петербург
2006-11-09,2006-11-14,3,40,Санкт-Петербург,Москва
2006-11-09,2006-11-13,1,20,Владивосток,Москва
2006-11-09,2006-11-10,4,20,Владивосток,Санкт-Петербург
2006-11-10,2006-11-14,5,20,Санкт-Петербург,Москва
2006-11-10,2006-11-15,4,20,Владивосток,Санкт-Петербург
2006-11-11,2006-11-17,2,40,Санкт-Петербург,Владивосток
2006-11-11,2006-11-14,2,40,Владивосток,Санкт-Петербург
2006-11-11,2006-11-15,4,20,Санкт-Петербург,Владивосток
2006-11-11,2006-11-16,4,20,Санкт-Петербург,Москва
2006-11-12,2006-11-15,4,20,Москва,Санкт-Петербург
2006-11-13,2006-11-20,4,20,Москва,Владивосток
2006-11-13,2006-11-17,4,20,Владивосток,Санкт-Петербург
2006-11-13,2006-11-17,3,40,Владивосток,Санкт-Петербург
2006-11-13,2006-11-17,5,40,Москва,Санкт-Петербург
2006-11-13,2006-11-20,1,40,Санкт-Петербург,Владивосток
2006-11-14,2006-11-21,2,20,Владивосток,Москва
2006-11-15,2006-11-17,5,40,Москва,Санкт-Петербург
2006-11-15,2006-11-17,5,40,Санкт-Петербург,Владивосток
2006-11-15,2006-11-18,2,40,Москва,Санкт-Петербург
2006-11-16,2006-11-23,5,40,Владивосток,Санкт-Петербург
2006-11-16,2006-11-19,4,40,Владивосток,Москва
2006-11-16,2006-11-19,2,20,Москва,Владивосток
2006-11-16,2006-11-22,1,40,Владивосток,Санкт-Петербург
2006-11-16,2006-11-23,3,40,Москва,Владивосток
2006-11-17,2006-11-24,3,20,Москва,Владивосток
2006-11-18,2006-11-20,5,20,Санкт-Петербург,Москва
2006-11-19,2006-11-25,1,40,Санкт-Петербург,Москва
2006-11-19,2006-11-25,5,20,Москва,Санкт-Петербург
2006-11-19,2006-11-22,3,40,Владивосток,Москва
2006-11-19,2006-11-25,5,40,Владивосток,Москва
2006-11-20,2006-11-23,3,20,Владивосток,Москва
2006-11-20,2006-11-26,5,40,Санкт-Петербург,Владивосток
2006-11-20,2006-11-23,3,40,Москва,Санкт-Петербург
2006-11-20,2006-11-24,5,20,Владивосток,Санкт-Петербург
2006-11-21,2006-11-28,5,40,Санкт-Петербург,Москва
2006-11-22,2006-11-27,2,40,Владивосток,Москва
2006-11-22,2006-11-23,4,20,Санкт-Петербург,Владивосток
2006-11-23,2006-11-25,2,20,Владивосток,Москва
2006-11-23,2006-11-26,4,40,Владивосток,Москва
2006-11-24,2006-11-28,5,40,Владивосток,Москва
2006-11-24,2006-11-25,5,40,Москва,Санкт-Петербург
2006-11-25,2006-11-29,1,40,Владивосток,Санкт-Петербург
2006-11-25,2006-11-26,1,40,Санкт-Петербург,Владивосток
2006-11-25,2006-12-02,2,40,Москва,Владивосток
2006-11-26,2006-11-27,5,40,Владивосток,Санкт-Петербург
2006-11-26,2006-11-27,5,20,Москва,Санкт-Петербург
2006-11-26,2006-12-01,4,20,Санкт-Петербург,Москва
2006-11-27,2006-12-02,2,40,Москва,Санкт-Петербург
